modelName,mrp,brand,image
AX1872,11995,AX,https://img.tatacliq.com/images/i13/658Wx734H/MP000000018996017_658Wx734H_202308310917061.jpeg
AX1873,13995,AX,https://img.tatacliq.com/images/i14/658Wx734H/MP000000019850250_658Wx734H_202310281351311.jpeg
AX1876,13995,AX,https://img.tatacliq.com/images/i14/658Wx734H/MP000000019850246_658Wx734H_202310281351281.jpeg
AX2098,14995,AX,https://img.tatacliq.com/images/i9/658Wx734H/MP000000016426667_658Wx734H_202302072108141.jpeg
AX5384,12495,AX,https://justintime.in/cdn/shop/files/AX5384-3P-23.jpg?v=1704779377&width=533
AX5577,11995,AX,https://justintime.in/cdn/shop/products/AX5577.jpg?v=1681998812&width=533
AX1326,9995,AX,https://justintime.in/cdn/shop/products/AX1326.jpg?v=1681998047&width=533
AX1335,9995,AX,https://justintime.in/cdn/shop/products/AX1335.jpg?v=1681998183&width=533
AX1720,14995,AX,https://justintime.in/cdn/shop/products/AX1720.jpg?v=1681997484&width=533
AX1721,17495,AX,https://justintime.in/cdn/shop/products/AX1721.jpg?v=1681998552&width=533
AX1722,17495,AX,https://justintime.in/cdn/shop/products/AX1722.jpg?v=1681998071&width=533
AX1723,14995,AX,https://justintime.in/cdn/shop/products/AX1723.jpg?v=1681998196&width=533
AX1731,17495,AX,https://justintime.in/cdn/shop/products/AX1731.jpg?v=1681998370&width=533
AX1732,14995,AX,https://justintime.in/cdn/shop/products/AX1732.jpg?v=1681998079&width=533
AX1854,13995,AX,https://justintime.in/cdn/shop/products/AX1854.jpg?v=1681998426&width=533
AX2103,13995,AX,https://justintime.in/cdn/shop/files/AX2103_3a9b4a47-797d-4a9d-8e40-201172299026.jpg?v=1690883321&width=533
AX2104,14995,AX,https://justintime.in/cdn/shop/products/AX2104.jpg?v=1681997569&width=533
AX2133,11995,AX,https://justintime.in/cdn/shop/products/AX2133.jpg?v=1681998225&width=533
AX2144,14995,AX,https://justintime.in/cdn/shop/products/AX2144.jpg?v=1681997582&width=533
AX2164,17495,AX,https://justintime.in/cdn/shop/products/AX2164.jpg?v=1681997606&width=533
AX2169,15495,AX,https://justintime.in/cdn/shop/products/AX2169.jpg?v=1681998591&width=533
