modelName,mrp,brand,image
AR11059,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11059_main?$sfcc_fos_large$
AR11129,21995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11129_main?$sfcc_fos_large$
AR11181,19995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11181_main?$sfcc_fos_large$
AR11188,14995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11188_main?$sfcc_fos_large$
AR11223,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11223_main?$sfcc_fos_large$
AR11244,31995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11244_main?$sfcc_fos_large$
AR11339,21995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11339_main?$sfcc_fos_large$
AR11360,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11360_main?$sfcc_fos_large$
AR11362,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11362_main?$sfcc_fos_large$
AR11363,29995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11363_main?$sfcc_fos_large$
AR11396,21995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11396_main?$sfcc_fos_large$
AR11409,19795,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11409_main?$sfcc_fos_large$
AR11421,21995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11421_main?$sfcc_fos_large$
AR11446,31995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11446_main?$sfcc_fos_large$
AR11451,19995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11451_main?$sfcc_fos_large$
AR11453,19795,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11453_main?$sfcc_fos_large$
AR11481,29995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11481_main?$sfcc_fos_large$
AR11500,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11500_main?$sfcc_fos_large$
AR11509,11995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11509_main?$sfcc_fos_large$
AR11560,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11560_main?$sfcc_fos_large$
AR11006,21995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11006_main?$sfcc_fos_large$
AR11007,21995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11007_main?$sfcc_fos_large$
AR11143,21995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11143_main?$sfcc_fos_large$
AR11152,17995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11152_main?$sfcc_fos_large$
AR11351,21495,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11351_main?$sfcc_fos_large$
AR11523,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11523_main?$sfcc_fos_large$
AR11524,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11524_main?$sfcc_fos_large$
AR11553,21495,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11553_main?$sfcc_fos_large$
AR11561,29995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11561_main?$sfcc_fos_large$
AR11567,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11567_main?$sfcc_fos_large$
AR11569,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11569_main?$sfcc_fos_large$
AR11578,17995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR11578_main?$sfcc_fos_large$
AR1853,23995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR1853_main?$sfcc_fos_large$
AR2482,18195,EA,https://fossil.scene7.com/is/image/FossilPartners/AR2482_main?$sfcc_fos_large$
AR1828,19995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR1828_main?$sfcc_fos_large$
AR1840,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR1840_main?$sfcc_fos_large$
AR1909,29995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR1909_main?$sfcc_fos_large$
AR1926,31995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR1926_main?$sfcc_fos_large$
AR1968,25995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR1968_main?$sfcc_fos_large$
AR1970,21495,EA,https://fossil.scene7.com/is/image/FossilPartners/AR1970_main?$sfcc_fos_large$
AR1979,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR1979_main?$sfcc_fos_large$
AR2434,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR2434_main?$sfcc_fos_large$
AR2448,26995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR2448_main?$sfcc_fos_large$
AR2502,14495,EA,https://fossil.scene7.com/is/image/FossilPartners/AR2502_main?$sfcc_fos_large$
AR60007,33495,EA,https://fossil.scene7.com/is/image/FossilPartners/AR60007_main?$sfcc_fos_large$
AR60008,33495,EA,https://fossil.scene7.com/is/image/FossilPartners/AR60008_main?$sfcc_fos_large$
AR60023,38995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR60023_main?$sfcc_fos_large$
AR60037,35995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR60037_main?$sfcc_fos_large$
AR60042,33495,EA,https://fossil.scene7.com/is/image/FossilPartners/AR60042_main?$sfcc_fos_large$
AR60053,35995,EA,https://fossil.scene7.com/is/image/FossilPartners/AR60053_main?$sfcc_fos_large$
AR6060,19395,EA,https://fossil.scene7.com/is/image/FossilPartners/AR6060_main?$sfcc_fos_large$
AR6061,22795,EA,https://fossil.scene7.com/is/image/FossilPartners/AR6061_main?$sfcc_fos_large$
