modelName,mrp,brand,image
Y16002L1MF,0,GC,https://i.ibb.co/Y7DSNDN/Y16002-L1-MF.jpg
Y24002G2MF,48995,GC,https://i.ibb.co/zx3ctzT/Y24002-G2-MF.jpg
Y24014G9MF,50995,GC,https://i.ibb.co/HCLGr6Z/Y24014-G9-MF.jpg
Y65002L2MF,0,GC,https://i.ibb.co/6sjFH7Q/Y65002-L2-MF.jpg
Y70001G7MF,49995,GC,https://i.ibb.co/CvC4fmy/Y70001-G7-MF.jpg
Y70002G2MF,56995,GC,https://i.ibb.co/sq6cncJ/Y70002-G2-MF.jpg
Y71007L2MF,0,GC,https://i.ibb.co/PxpCqbS/Y71007-L2-MF.jpg
Y81006G5MF,0,GC,https://i.ibb.co/mhd9S8n/Y81006-G5-MF.jpg
Y81009G9MF,48995,GC,https://i.ibb.co/T1Qwbpt/Y81009-G9-MF.jpg
Y83002G5MF,0,GC,https://i.ibb.co/ysZzY0j/Y83002-G5-MF.jpg
Y83005G7MF,0,GC,https://i.ibb.co/qWvf64y/Y83005-G7-MF.jpg
Y83008G1MF,0,GC,https://i.ibb.co/WN9FYcG/Y83008-G1-MF.jpg
Y83011G9MF,0,GC,https://i.ibb.co/nmDvMwd/Y83011-G9-MF.jpg
Y89002G2MF,52495,GC,https://i.ibb.co/SnSMz4h/Y89002-G2-MF.jpg
Y92001L1MF,34995,GC,https://i.ibb.co/SwRY4Kv/Y92001-L1-MF.jpg
Y92004L2MF,43995,GC,https://i.ibb.co/qJyFLyB/Y92004-L2-MF.jpg
Y92005L1MF,43995,GC,https://i.ibb.co/3mDrDKk/Y92005-L1-MF.jpg
Y92006L7MF,0,GC,https://i.ibb.co/Xs01Wnm/Y92006-L7-MF.jpg
Y93004L1MF,0,GC,https://i.ibb.co/GdCrLTH/Y93004-L1-MF.jpg
Y93006L9MF,0,GC,https://i.ibb.co/BgYQcqr/Y93006-L9-MF.jpg
Y96004L1MF,32995,GC,https://i.ibb.co/2nkhbX8/Y96004-L1-MF.jpg
Y98001L5MF,0,GC,https://i.ibb.co/JFpNvh0/Y98001-L5-MF.jpg
Y98002L1MF,43995,GC,https://i.ibb.co/Sc2r79p/Y98002-L1-MF.jpg
Y98008L1MF,0,GC,https://i.ibb.co/ggys0kX/Y98008-L1-MF.jpg
Y98009L3MF,48995,GC,https://i.ibb.co/ChBcFdL/Y98009-L3-MF.jpg
Y98010L9MF,0,GC,https://i.ibb.co/98vyCZm/Y98010-L9-MF.jpg
Y99001G2MF,49995,GC,https://i.ibb.co/ssQgDrK/Y99001-G2-MF.jpg
Y99002G7MF,54995,GC,https://i.ibb.co/6nPKQxD/Y99002-G7-MF.jpg
Y99011G9MF,47995,GC,https://i.ibb.co/DbMhkFv/Y99011-G9-MF.jpg
Y99013G1MF,0,GC,https://i.ibb.co/W6bXtPX/Y99013-G1-MF.jpg
Y99016G3MF,0,GC,https://i.ibb.co/jG5W42H/Y99016-G3-MF.jpg
Z01003L1MF,30995,GC,https://i.ibb.co/SBmbk3s/Z01003-L1-MF.jpg
Z01004L1MF,34995,GC,https://i.ibb.co/FhNN2Qd/Z01004-L1-MF.jpg
Z01006L9MF,34995,GC,https://i.ibb.co/zPMCNcC/Z01006-L9-MF.jpg
Z01009L4MF,32995,GC,https://i.ibb.co/k3sMyXY/Z01009-L4-MF.jpg
Z01010L9MF,0,GC,https://i.ibb.co/PTf7GB1/Z01010-L9-MF.jpg
Z01013L1MF,0,GC,https://i.ibb.co/L9PH4v9/Z01013-L1-MF.jpg
Z01014L1MF,49995,GC,https://i.ibb.co/hfTzQht/Z01014-L1-MF.jpg
Z01017L3MF,38995,GC,https://i.ibb.co/H4nQ2qj/Z01017-L3-MF.jpg
Z01019L9MF,38995,GC,https://i.ibb.co/hLpc6xH/Z01019-L9-MF.jpg
Z02004L7MF,0,GC,https://i.ibb.co/C7c4cRh/Z02004-L7-MF.jpg
Z02005L4MF,0,GC,https://i.ibb.co/RDd8pPy/Z02005-L4-MF.jpg
Z02006L9MF,0,GC,https://i.ibb.co/R9dhZL7/Z02006-L9-MF.jpg
Z05006L2MF,32995,GC,https://i.ibb.co/dWnjfQR/Z05006-L2-MF.jpg
Z05007L1MF,0,GC,https://i.ibb.co/hdRVP5f/Z05007-L1-MF.jpg
Z07004G7MF,49995,GC,https://i.ibb.co/y54vDdY/Z07004-G7-MF.jpg
Z07008G9MF,49995,GC,https://i.ibb.co/YbrrJKH/Z07008-G9-MF.jpg
Z12001L9MF,41995,GC,https://i.ibb.co/mvFMzB6/Z12001-L9-MF.jpg
Z12002L4MF,38995,GC,https://i.ibb.co/pzDkcWM/Z12002-L4-MF.jpg
Z12003L1MF,42995,GC,https://i.ibb.co/tCpwg0W/Z12003-L1-MF.jpg
Z12005L1MF,0,GC,https://i.ibb.co/kyHL0zK/Z12005-L1-MF.jpg
Z12006L1MF,0,GC,https://i.ibb.co/58Fv9L7/Z12006-L1-MF.jpg
Z12008L2MF,0,GC,https://i.ibb.co/sgBpkVZ/Z12008-L2-MF.jpg
Z13001G7MF,51995,GC,https://i.ibb.co/qrYTjYF/Z13001-G7-MF.jpg
Z13002G7MF,45995,GC,https://i.ibb.co/kmvnmdQ/Z13002-G7-MF.jpg
Z14005G2MF,42995,GC,https://i.ibb.co/9hJSz9C/Z14005-G2-MF.jpg
Z14007G9MF,49995,GC,https://i.ibb.co/CHLJKQp/Z14007-G9-MF.jpg
Z14008G7MF,49995,GC,https://i.ibb.co/RCXBpGs/Z14008-G7-MF.jpg
Z14009G9MF,56995,GC,https://i.ibb.co/TbNrWxk/Z14009-G9-MF.jpg
Z14011G7MF,53995,GC,https://i.ibb.co/7jtsmXK/Z14011-G7-MF.jpg
Z15001L1MF,39995,GC,https://i.ibb.co/GWhvtF9/Z15001-L1-MF.jpg
Z15002L1MF,39995,GC,https://i.ibb.co/0BYwZh3/Z15002-L1-MF.jpg
Z15003L1MF,0,GC,https://i.ibb.co/b6ZC2Yq/Z15003-L1-MF.jpg
Z15004L7MF,0,GC,https://i.ibb.co/W2tjgDG/Z15004-L7-MF.jpg
Z16002G2MF,44995,GC,https://i.ibb.co/q0NjYMf/Z16002-G2-MF.jpg
Z16008G7MF,44995,GC,https://i.ibb.co/P9z4mn7/Z16008-G7-MF.jpg
Z17001G9MF,49995,GC,https://i.ibb.co/6r5j278/Z17001-G9-MF.jpg
Z17003G2MF,53995,GC,https://i.ibb.co/wQgHqf4/Z17003-G2-MF.jpg
Z17004G9MF,0,GC,https://i.ibb.co/NSbvvF8/Z17004-G9-MF.jpg
Z18001G2MF,55995,GC,https://i.ibb.co/wCtyf52/Z18001-G2-MF.jpg
Z18002G5MF,55995,GC,https://i.ibb.co/Mk1CXn2/Z18002-G5-MF.jpg
Z18003G9MF,55995,GC,https://i.ibb.co/ZmRFdQJ/Z18003-G9-MF.jpg
Z18004G9MF,55995,GC,https://i.ibb.co/7pZyCNR/Z18004-G9-MF.jpg
Z18006G7MF,51995,GC,https://i.ibb.co/sm2xW8F/Z18006-G7-MF.jpg
Z20001L4MF,44995,GC,https://i.ibb.co/ZW78b6d/Z20001-L4-MF.jpg
Z20002L1MF,44995,GC,https://i.ibb.co/Jq0hSDV/Z20002-L1-MF.jpg
Z20004L9MF,44995,GC,https://i.ibb.co/HXdQhHD/Z20004-L9-MF.jpg
Z20006L1MF,34995,GC,https://i.ibb.co/hx0MLb8/Z20006-L1-MF.jpg
Z21006L1MF,0,GC,https://i.ibb.co/6ygXW8z/Z21006-L1-MF.jpg
Z21007L1MF,0,GC,https://i.ibb.co/rQYgRgH/Z21007-L1-MF.jpg
Z21009L1MF,47995,GC,https://i.ibb.co/QC587mg/Z21009-L1-MF.jpg
Z22001L1MF,0,GC,https://i.ibb.co/9GybSXN/Z22001-L1-MF.jpg
Z22002L1MF,0,GC,https://i.ibb.co/x2QCfHy/Z22002-L1-MF.jpg
Z22003L7MF,0,GC,https://i.ibb.co/C2Mbhgd/Z22003-L7-MF.jpg
Z22004L1MF,0,GC,https://i.ibb.co/F529FjP/Z22004-L1-MF.jpg
Z25001L1MF,41995,GC,https://i.ibb.co/3FmKV12/Z25001-L1-MF.jpg
Z25002L1MF,0,GC,https://i.ibb.co/PNs7Mtm/Z25002-L1-MF.jpg
Z25003L7MF,0,GC,https://i.ibb.co/JK1RDyx/Z25003-L7-MF.jpg
Z25004L9MF,0,GC,https://i.ibb.co/VVBH78P/Z25004-L9-MF.jpg
Z26001G7MF,0,GC,https://i.ibb.co/X3vctwP/Z26001-G7-MF.jpg
Z26002G9MF,0,GC,https://i.ibb.co/mNwKYVR/Z26002-G9-MF.jpg
Z26003G7MF,0,GC,https://i.ibb.co/3sqBRC9/Z26003-G7-MF.jpg
Z26004G2MF,0,GC,https://i.ibb.co/BygTC3p/Z26004-G2-MF.jpg
Z26005G4MF,0,GC,https://i.ibb.co/7jhKZnv/Z26005-G4-MF.jpg
