modelName,mrp,brand,image
GW0022L2,12495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/1_1591a7e4-2bce-40e9-aa8e-1678e72c0255.png?v=1711789282
GW0022L3,13495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/1_0f9ff3d9-f83e-4a57-89ab-09ba642abc2d.png?v=1711790561
GW0030L2,13495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0030L2_F.png?v=1712050258
GW0033L8,14995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0033L8_F_465e039c-bd7c-4e35-9b44-a87247a19253.png?v=1712040235
GW0202G1,15995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0202G1_F.png?v=1712047278
GW0202G2,16995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/1_768c225d-236a-4572-89d7-9cbccc832ed8.png?v=1711794908
GW0202G4,16995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0202G4_F_bad0fed4-4992-442b-8949-3287313acefe.png?v=1712049573
GW0202G5,16995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0202G5_F_98980b59-9978-40cb-92cc-faa01ba05f9e.png?v=1712060285
GW0203G9,11995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0203G9_F_4a190a9e-51b7-49b4-a081-e821cff7d092.png?v=1712033626
GW0203G10,11995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0203G10_F_63046c2e-0056-4b4a-b6d7-f7deaa4eb379.png?v=1712120616
GW0260G4,16995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0260G4_F_8a6f5f55-1b10-4d7b-9a44-ddca6cf65bb4.png?v=1712118150
GW0265G7,12495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0265G7_F.png?v=1712124465
GW0265G8,14995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0265G8_F.png?v=1712035995
GW0265G10,13495,Guess,https://static.helioswatchstore.com/media/catalog/product/cache/dd1c3400e344f54d12df823ec560a116/g/w/gw0265g10_1.jpg
GW0265G12,16995,Guess,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQR0fkjlNkC59vyy2PDnGD9-PDK1ZgVMjphbIGg9n6fkhGhb3PAp63xFNhl_xtcMVWF6PpX-6C4UvyU1MmwNOch-trzC_pqVA
GW0300L2,13995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0300L2_F.png?v=1712057707
GW0300L3,14995,Guess,https://guesswatches.com/cdn/shop/products/GW0300L3_F.png?v=1691770850&width=900
GW0308L5,13995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000016377674_1316Wx1468H_202302050008311.jpg?v=1712060059
GW0320L2,16495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0320L2_F.png?v=1712035882
GW0354L3,13995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0354L3_F_b068e420-020a-4a09-a88a-ec0b96dff42c.png?v=1712063377
GW0359L1,8995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/1_f3d06a94-2f9e-4aa6-a9d0-af424a23a258.png?v=1711789321
GW0389G2,12995,Guess,https://img.tatacliq.com/images/i8/658Wx734H/MP000000013163380_658Wx734H_202206111805151.jpeg
GW0401L1,12495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0401L1_F.png?v=1712034504
GW0401L2,14995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0401L2_F.png?v=1712130693
GW0401L3,16495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0401L3_F.png?v=1712061971
GW0404L1,7995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0404L1_F.png?v=1712034140
GW0404L2,11495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0404L2_F.png?v=1712124131
GW0404L3,12495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000013164265_1316Wx1468H_202206111957481.jpg?v=1712127420
GW0438L2,11995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0438L2_F_cae922f4-6954-4bf8-bb78-d00e15ccb7b1.png?v=1712033076
GW0438L3,10995,Guess,https://justintime.in/cdn/shop/products/1JqoGbMAm34LE2oIkkqaQlDY6mZAx9wPc_f40bee55-d5b1-48aa-839e-e00692e40f80.jpg?v=1693568604
GW0438L6,10995,Guess,https://justintime.in/cdn/shop/products/1VSf-AMTyypZWlUtUe4xDqFnvr4AQmHw7_5bd30dd1-fcda-4e4c-bfa3-9cf2cde41a94.jpg?v=1693569719
GW0452L1,9995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0452L1_F_0048fcf9-c76d-4a69-aed6-4f36ede028d4.png?v=1712051959
GW0456G1,18995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0456G1_F_cd996df7-5ab5-488a-98c3-ff10bcfb2fa1.png?v=1712054858
GW0456G2,18995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0456G2_F_a51a02d0-a308-4c5e-aee0-4918d2cdfa91.png?v=1712060338
GW0456G3,18995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0456G3_F_c64fa94d-4075-4564-bf95-8b546e584aaa.png?v=1712062378
GW0456G5,17495,Guess,https://justintime.in/cdn/shop/products/1UR3XGwGIQaGTxrTbSuYVUKxozts1s0h0.jpg?v=1701689719
GW0464L2,21995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0464L2_F_41cd9c87-9456-4bf4-87ae-53f3ccfd51ed.png?v=1712062049
GW0464L3,22995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0464L3_F_5e48effb-c206-45c0-bbd4-625cfc62c9fc.png?v=1712059871
GW0464L5,24995,Guess,https://justintime.in/cdn/shop/products/1zevUxqKvOIwu_TOjUMZWpv4XX53PAVNX.jpg?v=1701689735
GW0468L2,11295,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000014170563_1316Wx1468H_202208192114081.jpg?v=1712119704
GW0468L3,12495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0468L3_F.png?v=1712057281
GW0468L4,11995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0468L4_F.png?v=1712038793
GW0470L1,14495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0470L1_F.png?v=1712063554
GW0470L2,15995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0470L2_F.png?v=1712041584
GW0470L3,16995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0470L3_F.png?v=1712037481
GW0471L2,12995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000014170638_1316Wx1468H_202208192118081.jpg?v=1712035065
GW0471L3,13995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000014170954_1316Wx1468H_202208192149191.jpg?v=1712127184
GW0474L2,14995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0474L2_F_008e9639-d0a1-42d3-a750-ff708b91465f.png?v=1712034793
GW0474L3,15995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0474L3_F_58238359-0926-4b47-8b48-1e3679bacfcc.png?v=1712039025
GW0476L2,17995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0476L2_F_5ee29c51-8670-4b20-80af-b8b0d0dc72cc.png?v=1712042540
GW0476L3,18995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0476L3_F_fb1bbb2b-2fb5-46a5-945d-43c435ef05b0.png?v=1712118291
GW0485L1,12495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000014170663_1316Wx1468H_202208192120441.jpg?v=1712129774
GW0485L2,13495,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000014772141_1316Wx1468H_202210072126121.jpg?v=1712119886
GW0487G1,17995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0487G1_F_389c42cc-3356-403e-970f-db3bea623780.png?v=1712120304
GW0487G5,18995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0487G5_F_af789be3-b04e-492a-a2a4-b6a36fcf3a16.png?v=1712039683
GW0490G2,15995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0490G2_F_0610b7da-1708-44aa-996c-fe25a7e57eee.png?v=1712130927
GW0491G3,12995,Guess,https://justintime.in/cdn/shop/products/1N0EqS2d_wYjXH9HUXdzzMyrkp8OlPFSs.jpg?v=1701689669
GW0491G4,15995,Guess,https://guesswatches.com/cdn/shop/files/GW0491G4_Q.png?v=1702664404
GW0493G3,13495,Guess,https://sslimages.shoppersstop.com/sys-master/images/h9e/h79/28075979440158/WGUGW0493G3_NoColour_alt1.jpg_2000Wx3000H
GW0494G2,7995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/GW0494G2_F.png?v=1712050220
GW0494G3,9495,Guess,https://img.tatacliq.com/images/i8/658Wx734H/MP000000014405512_658Wx734H_202209100721145.jpeg
GW0497G2,23995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0497G2_F_de0fcebf-3ee8-4835-a6f9-17e7d15fbed2.png?v=1712118829
GW0499G1,15995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0499G1_F_8c84934a-d454-434e-896a-e2ba045bc895.png?v=1712062236
GW0499G2,15995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0499G2_F_672dca39-41f8-475e-8286-5e4166e5f2cf.png?v=1712128751
GW0499G6,15995,Guess,https://guesswatches.com/cdn/shop/files/GW0499G6_F.png?v=1707851293
GW0500G1,17995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0500G1_F_3332a29c-b81c-4005-a9e4-8d9ebc72a51c.png?v=1712118700
GW0500G2,17995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/products/GW0500G2_F_450927fc-bf5e-4e2f-bfc3-5797834dcdef.png?v=1712125890
GW0502G1,11995,Guess,https://cdn.shopify.com/s/files/1/0742/7414/4536/files/MP000000014405504_1316Wx1468H_202209100721051.jpg?v=1712041441
