modelName,mrp,brand,image
RC5G011L0025,0,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759417_658Wx734H_202305310701401.jpeg
RC5G011L0035,31500,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759416_658Wx734H_202305310701591.jpeg
RC5G012M0085,30500,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588645_658Wx734H_202203250352481.jpeg
RC5G013M0105,29000,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588646_658Wx734H_202203250352491.jpeg
RC5G013M0115,33000,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588643_658Wx734H_202203250352461.jpeg
RC5G016M0085,39500,RC BY RC,https://assets.ajio.com/medias/sys_master/root/20221020/rJVb/63515dd7f997ddfdbd36809a/-473Wx593H-464823597-black-MODEL.jpg
RC5G016P0045,32500,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588682_658Wx734H_202203250356061.jpeg
RC5G018M0065,30000,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588635_658Wx734H_202203250352431.jpeg
RC5G018M0075,30000,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588659_658Wx734H_202203250354371.jpeg
RC5G018M0095,32500,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588633_658Wx734H_202203250352431.jpeg
RC5G018P0045,26000,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588658_658Wx734H_202203250354231.jpeg
RC5G042M0065,31500,RC BY RC,https://img.tatacliq.com/images/i9/658Wx734H/MP000000016331419_658Wx734H_202302020323581.jpeg
RC5G044P0085,27300,RC BY RC,https://img.tatacliq.com/images/i16//658Wx734H/MP000000021644236_658Wx734H_202403220936321.jpeg
RC5G046L0025,28500,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759428_658Wx734H_202305310702261.jpeg
RC5G047M0055,34100,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759422_658Wx734H_202305310701441.jpeg
RC5G047M0065,34100,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759426_658Wx734H_202305310702291.jpeg
RC5G047M0085,38800,RC BY RC,https://img.tatacliq.com/images/i16//658Wx734H/MP000000021644237_658Wx734H_202403220936381.jpeg
RC5L004M0085,29500,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588740_658Wx734H_202203250359261.jpeg
RC5L005M0075,33500,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588721_658Wx734H_202203250356431.jpeg
RC5L005M0105,34000,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588726_658Wx734H_202203250359131.jpeg
RC5L011M0075,35500,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588773_658Wx734H_202203250401281.jpeg
RC5L025M0055,30500,RC BY RC,https://img.tatacliq.com/images/i8/658Wx734H/MP000000012588699_658Wx734H_202203250356151.jpeg
RC5L030M0065,35700,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759468_658Wx734H_202305310703521.jpeg
RC5L030M0085,35400,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759464_658Wx734H_202305310703561.jpeg
RC5L030M0105,35700,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759470_658Wx734H_202305310704221.jpeg
RC5L031M0105,32500,RC BY RC,https://www.alamode.me/image/cache/catalog/Roberto%20Cavalli%20Watches/RC5L031M0105-618x795.jpg
RC5L041M0085,32500,RC BY RC,https://img.tatacliq.com/images/i9/658Wx734H/MP000000016331436_658Wx734H_202302020324561.jpeg
RC5L052M0025,37800,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759439_658Wx734H_202305310702451.jpeg
RC5L052M0035,38300,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759440_658Wx734H_202305310702511.jpeg
RC5L052M0045,39300,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759442_658Wx734H_202305310702501.jpeg
RC5L052M0065,39300,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759451_658Wx734H_202305310703231.jpeg
RC5L056M0075,34100,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759466_658Wx734H_202305310703551.jpeg
RC5L063M0075,34300,RC BY RC,https://img.tatacliq.com/images/i11/658Wx734H/MP000000017759458_658Wx734H_202305310703521.jpeg
RC5L063M0095,34300,RC BY RC,https://img.tatacliq.com/images/i11/1316Wx1468H/MP000000017759469_1316Wx1468H_202305310704011.jpeg
RC5G099M0075,36500,RC BY RC,https://img.tatacliq.com/images/i16//658Wx734H/MP000000020920546_658Wx734H_202401252008531.jpeg
RC5G100M0085,35500,RC BY RC,https://img.tatacliq.com/images/i16//658Wx734H/MP000000020920384_658Wx734H_202401252003431.jpeg
RC5L092M0035,32750,RC BY RC,https://img.tatacliq.com/images/i16//658Wx734H/MP000000020920722_658Wx734H_202401252024461.jpeg
RC5L092M0045,33750,RC BY RC,https://img.tatacliq.com/images/i16//658Wx734H/MP000000020920724_658Wx734H_202401252024461.jpeg
RC5L098M0055,33750,RC BY RC,https://img.tatacliq.com/images/i16//658Wx734H/MP000000020920763_658Wx734H_202401252026471.jpeg
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
