"model","Main","Sample","Model Town","GT Road","Dehradun","Delhi","Godawn","Total"
"JC1L228M0075",0,0,0,0,0,1,0,1
"JC1L168M0055",0,0,0,0,0,0,0,0
"JC1L163M0215",0,0,0,0,0,0,0,0
"JC1L189M0075",0,0,0,0,0,1,0,1
"JC1L248M0025",14,1,0,0,1,1,0,17
"JC1L230M0045",30,1,0,0,0,0,0,31
"JC1L228M0055",0,0,0,0,1,0,0,1
"JC1L226M0035",0,0,0,0,0,1,0,1
"JC1L248M0085",0,0,0,1,1,1,0,3
"JC1L209M0045",15,1,0,0,0,0,0,16
"JC1L224M0025",0,0,0,0,0,0,0,0
"JC1L168M0035",0,0,0,0,0,0,0,0
"JC1L226M0055",0,0,0,0,0,0,0,0
"JC1L223M0025",0,0,0,0,0,0,0,0
"JC1L230M0035",0,0,0,0,0,0,0,0
"JC1L226M0045",0,0,0,0,0,0,0,0
"JC1L230M0075",24,1,0,0,0,0,0,25
"JC1L209M0055",17,1,0,0,0,0,0,18
"JC1L163M0225",0,0,0,0,0,0,0,0
"JC1L228M0085",0,1,0,0,1,0,0,2
"JC1L225M0015",0,0,0,0,0,0,0,0
"JC1L189M0015",0,0,0,0,0,0,0,0
"JC1L209M0075",9,1,0,0,0,0,0,10
"JC1L222M0055",0,0,0,0,0,0,0,0
"JC1L113M0025",0,0,0,0,0,0,0,0
"JC1L186M0055",0,0,0,0,0,0,0,0
"JC1L227M0065",0,0,0,0,0,1,0,1
"JC1L247M0045",0,0,0,0,0,0,0,0
"JC1L247M0035",0,0,0,0,0,1,0,1
"JC1L264M0035",1,0,0,0,0,0,0,1
"JC1L225M0085",0,0,1,0,0,1,0,2
"JC1L226M0065",0,0,0,0,0,1,0,1
"JC1L251M0025",0,0,0,0,0,0,0,0
"JC1L163M0245",0,0,0,0,0,0,0,0
"JC1L186M0025",0,0,0,0,0,0,0,0
"JC1L248M0035",30,1,0,0,1,0,0,32
"JC1L271M0035",0,0,0,0,0,0,0,0
"JC1L193M0015",0,0,0,0,0,0,0,0
"JC1L208M0055",12,1,0,0,0,1,0,14
"JC1L184M0025",0,0,0,0,0,0,0,0
"JC1L186M0065",0,0,0,0,0,0,0,0
"JC1L228M0035",0,0,0,0,1,1,0,2
"JC1L222M0035",0,0,0,0,0,0,0,0
"JC1L230M0065",23,1,0,0,0,0,0,24
"JC1L247M0025",0,0,0,0,1,0,0,1
"JC1L232M0065",0,0,0,0,0,0,0,0
"JC1L248M0045",15,1,0,0,1,1,0,18
"JC1L251M0075",0,0,0,0,0,0,0,0
"JC1L251M0045",0,0,0,0,0,0,0,0
"JC1L222M0065",0,0,0,0,0,0,0,0
"JC1L227M0035",0,0,0,0,0,0,0,0
"JC1L226M0025",0,0,0,0,0,1,0,1
"JC1L248M0065",41,1,0,0,1,1,0,44
"JC1L208M0025",0,0,0,0,0,0,0,0
"JC1L223M0065",10,1,0,0,0,0,0,11
"JC1L264M0075",0,0,0,0,0,0,0,0
"JC1L247M0055",0,0,0,0,0,0,0,0
"JC1L248M0075",56,1,0,0,1,1,0,59
"JC1L168M0045",0,0,0,0,0,0,0,0
"JC1L163M0275",0,0,0,0,0,0,0,0
"JC1L268M0055",1,1,0,0,1,1,0,4
"JC1L248M0055",46,1,0,0,1,2,0,50
"JC1L228M0065",0,0,0,0,0,1,0,1
"JC1L168M0085",0,0,0,0,0,0,0,0
"JC1L228M0045",0,0,0,0,1,0,0,1
"JC1L073M0075",0,0,0,0,0,0,0,0
"JC1L247M0075",0,0,0,0,0,0,0,0
"JC1L306M0015",0,1,0,0,1,1,0,3
"JC1L163M0255",0,0,0,0,0,0,0,0
"JC1L167M0055",0,0,0,0,0,0,0,0
"JC1L302M0055",0,0,0,0,1,1,0,2
"JC1L163M0065",0,0,0,0,0,0,0,0
"JC1L183M0015",0,0,0,0,0,0,0,0
"JC1L222M0025",0,0,0,0,0,0,0,0
