Model No.,Godwan,MT Stock,IB Stock,DDN Stock,DL Stock,CHD Stock,Main,Sample Line,Total
R27073702,0,0,0,0,0,0,0,0,0
R32504317,0,0,0,0,0,0,0,0,0
R32504315,0,0,0,0,0,0,0,0,0
R32504407,0,0,0,0,0,0,0,0,0
R32105319,0,0,0,1,0,0,0,0,1
R27086152,0,0,0,0,0,0,0,0,0
R27072902,0,0,0,0,0,0,0,0,0
R27076012,0,0,0,0,0,0,0,0,0
R32127162,0,1,0,0,0,0,0,0,1
R32504205,0,0,0,0,0,0,0,0,0
R27079702,0,1,0,0,0,0,0,0,1
R27080162,0,0,0,0,0,0,0,0,0
R27080702,0,0,0,0,0,0,0,0,0
R27080722,0,1,0,1,0,0,0,0,2
R22883923,0,0,0,0,0,0,0,0,0
R22885945,0,0,0,0,0,0,0,0,0
R27059162,0,0,0,0,0,0,0,0,0
R27059712,0,1,0,1,0,0,0,0,2
R27060712,0,1,0,0,0,0,0,0,1
R27060732,0,0,0,0,0,0,0,0,0
R27061712,0,0,0,0,0,0,0,0,0
R27061902,0,0,0,0,0,0,0,0,0
R27238162,0,0,0,1,0,0,0,0,1
R27238712,0,0,0,1,0,0,0,0,1
R27238722,0,0,0,0,0,0,0,0,0
R20201712,0,0,0,0,0,0,0,0,0
R20612712,0,0,0,0,0,0,0,0,0
R20613712,0,0,0,0,0,0,0,0,0
R20845162,0,0,0,0,0,0,0,0,0
R20845712,0,0,0,0,0,0,0,0,0
R20204162,0,0,0,0,0,0,0,0,0
R20204712,0,0,0,0,0,0,0,0,0
R20206162,0,0,0,0,0,0,0,0,0
R20206712,0,0,0,0,0,0,0,0,0
R20219712,0,0,0,0,0,0,0,0,0
R20207712,0,0,0,0,0,0,0,0,0
R27242162,0,0,0,0,0,0,0,0,0
R27242712,0,1,0,0,0,0,0,0,1
R27242722,0,0,0,0,0,0,0,0,0
R27242732,0,1,0,0,0,0,0,0,1
R27243712,0,1,0,0,0,0,0,0,1
R27243732,0,0,0,0,0,0,0,0,0
R27243852,0,0,0,0,0,0,0,0,0
R22862027,0,0,0,0,0,0,0,0,0
R22865115,0,0,0,0,0,0,0,0,0
R22865765,0,0,0,0,0,0,0,0,0
R27510152,0,0,0,0,0,0,0,0,0
R27511302,0,0,0,0,0,0,0,0,0
R22894163,0,0,0,0,0,0,0,0,0
R22895025,0,0,0,0,0,0,0,0,0
R22895215,0,0,0,0,0,0,0,0,0
R27083202,0,0,0,0,0,0,0,0,0
